date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-08-09,中京,9,07253509,9:170,9:110;2:390;7:240,2-8:1910,2-9:3120,2-9:830;7-9:500;2-7:2060,9-2:4530,2-7-9:6980,9-2-7:26850
2025-08-09,中京,10,07253510,3:490,3:180;13:390;10:370,2-7:2200,3-13:2290,3-13:800;3-10:830;10-13:1760,3-13:3970,3-10-13:7400,3-13-10:30780
2025-08-09,中京,11,07253511,14:910,14:290;11:410;10:390,6-7:1730,11-14:6030,11-14:1780;10-14:1520;10-11:2380,14-11:10770,10-11-14:18760,14-11-10:104120
2025-08-09,中京,12,07253512,11:550,11:190;8:150;10:380,6-8:690,8-11:980,8-11:420;10-11:1510;8-10:840,11-8:2290,8-10-11:5130,11-8-10:22710
2025-08-09,新潟,1,04252501,1:190,1:110;15:110;5:170,1-8:280,1-15:310,1-15:170;1-5:340;5-15:360,1-15:490,1-5-15:760,1-15-5:2250
2025-08-09,新潟,2,04252502,7:150,7:110;8:320;2:410,7-7:1770,7-8:2040,7-8:660;2-7:590;2-8:3970,7-8:2460,2-7-8:7630,7-8-2:21410
2025-08-09,新潟,3,04252503,17:1980,17:470;6:380;11:270,3-8:5160,6-17:9480,6-17:2280;11-17:1540;6-11:1400,17-6:16020,6-11-17:13170,17-6-11:99270
2025-08-09,新潟,4,04252504,5:160,5:110;12:130;9:1130,3-7:360,5-12:340,5-12:190;5-9:3270;9-12:5860,5-12:440,5-9-12:13260,5-12-9:28580
2025-08-09,新潟,5,04252505,12:810,12:240;10:280;15:230,6-7:2400,10-12:3320,10-12:1030;12-15:790;10-15:1250,12-10:6160,10-12-15:6780,12-10-15:48790
2025-08-09,新潟,6,04252506,12:1420,12:310;14:230;16:1720,6-7:2130,12-14:3300,12-14:1060;12-16:5620;14-16:5330,12-14:10250,12-14-16:54450,12-14-16:312440
